Volume,vw,Open,Close,High,Low,timestamp,n
1148.0,9.5822,9.59,9.58,9.59,9.58,2026-08-10 08:02:00,3
313.0,9.8203,9.82,9.82,9.82,9.82,2026-08-10 08:36:00,2
120.0,9.7394,9.7394,9.7394,9.7394,9.7394,2026-08-10 08:55:00,1
100.231896,9.66,9.66,9.66,9.66,9.66,2026-08-10 09:35:00,2
500.0,9.66,9.66,9.66,9.66,9.66,2026-08-10 09:48:00,1
100.0,9.75,9.75,9.75,9.75,9.75,2026-08-10 10:06:00,1
100.0,9.6405,9.6405,9.6405,9.6405,9.6405,2026-08-10 10:25:00,1
200.0,9.64,9.64,9.64,9.64,9.64,2026-08-10 10:38:00,1
100.0,9.64,9.64,9.64,9.64,9.64,2026-08-10 10:44:00,1
1092.0,9.5846,9.6,9.58,9.6,9.58,2026-08-10 11:11:00,2
5319.231896,9.5257,9.58,9.58,9.58,9.5,2026-08-10 11:12:00,15
1203.231896,9.8498,9.79,9.9,9.9,9.79,2026-08-10 11:39:00,17
702.0,9.7809,9.79,9.7815,9.79,9.769,2026-08-10 11:40:00,3
485.0,9.5941,9.6,9.59,9.6,9.59,2026-08-10 11:48:00,2
150.0,9.6,9.58,9.58,9.58,9.58,2026-08-10 11:50:00,2
520.0,9.6538,9.652,9.652,9.652,9.652,2026-08-10 12:01:00,2
2032.0,9.699,9.7,9.7,9.7,9.7,2026-08-10 12:26:00,2
255.0,9.5278,9.52,9.52,9.52,9.52,2026-08-10 12:50:00,3
132.231896,9.5494,9.5498,9.5498,9.5498,9.5498,2026-08-10 13:10:00,3
1000.0,9.55,9.55,9.55,9.55,9.55,2026-08-10 13:11:00,1
300.0,9.4883,9.49,9.49,9.49,9.49,2026-08-10 13:28:00,4
67619.539549,9.4717,9.47,9.41,9.55,9.4,2026-08-10 13:30:00,109
3698.0,9.3512,9.4,9.33,9.4,9.27,2026-08-10 13:31:00,56
11560.0,9.3634,9.36,9.29,9.4,9.28,2026-08-10 13:32:00,62
6605.19,9.3383,9.28,9.34,9.3999,9.28,2026-08-10 13:33:00,48
38687.359,9.3531,9.34,9.35,9.405,9.29,2026-08-10 13:34:00,232
6934.96023,9.3921,9.35,9.4995,9.4995,9.34,2026-08-10 13:35:00,102
2787.65946,9.4634,9.4867,9.45,9.4867,9.45,2026-08-10 13:36:00,14
32018.924017,9.4504,9.48,9.5068,9.5151,9.4,2026-08-10 13:37:00,165
6076.24136,9.4076,9.46,9.28,9.46,9.28,2026-08-10 13:38:00,53
6197.423539,9.2548,9.25,9.26,9.26,9.24,2026-08-10 13:39:00,36
