Volume,vw,Open,Close,High,Low,timestamp,n
200.0,160.0,160.0,160.0,160.0,160.0,2026-07-29 09:32:00,1
300.0,160.0,160.0,160.0,160.0,160.0,2026-07-29 09:53:00,5
126.0,161.7506,161.75,161.75,161.75,161.75,2026-07-29 10:57:00,2
557.0,161.0226,161.02,161.02,161.02,161.02,2026-07-29 11:02:00,8
118.0,162.0548,162.02,162.02,162.02,162.02,2026-07-29 11:10:00,18
519.0,161.4121,161.41,161.41,161.41,161.41,2026-07-29 11:19:00,10
104.0,161.679,161.68,161.68,161.68,161.68,2026-07-29 11:21:00,5
699.0,159.8327,159.82,159.87,159.87,159.82,2026-07-29 11:25:00,5
115.0,161.0403,161.02,161.02,161.02,161.02,2026-07-29 11:29:00,16
242.0,160.9298,160.92,160.92,160.92,160.92,2026-07-29 11:34:00,8
107.0,160.937,160.92,160.92,160.92,160.92,2026-07-29 11:35:00,8
312.0,160.9172,160.91,160.91,160.91,160.91,2026-07-29 11:37:00,10
165.0,161.0201,160.98,160.98,160.98,160.98,2026-07-29 11:40:00,5
142.0,159.3385,159.32,159.32,159.32,159.32,2026-07-29 11:41:00,7
571.0,160.7172,160.72,160.72,160.72,160.72,2026-07-29 11:55:00,7
566.0,160.2884,160.3,160.3,160.3,160.3,2026-07-29 11:57:00,20
1284.0,160.9314,161.01,161.01,161.01,161.01,2026-07-29 11:58:00,12
201.0,159.9932,160.0,160.0,160.0,160.0,2026-07-29 12:12:00,15
239.0,160.6551,160.65,160.7,160.7,160.65,2026-07-29 12:16:00,7
1007.0,161.9083,161.91,161.91,161.91,161.91,2026-07-29 12:28:00,8
613.0,161.8219,161.82,161.82,161.82,161.82,2026-07-29 12:29:00,9
358.0,160.2713,160.3,160.3,160.3,160.3,2026-07-29 12:34:00,12
925.0,160.3999,160.4,160.4,160.4,160.4,2026-07-29 12:35:00,14
173.0,160.8765,160.99,160.99,160.99,160.99,2026-07-29 12:38:00,14
144.0,161.1823,161.22,161.22,161.22,161.22,2026-07-29 12:42:00,15
137.0,160.9982,161.0,161.0,161.0,161.0,2026-07-29 12:50:00,6
188.0,160.6174,160.62,160.62,160.62,160.62,2026-07-29 12:59:00,5
322.0,160.7577,160.76,160.76,160.76,160.76,2026-07-29 13:01:00,4
415.0,161.4624,161.46,161.46,161.5,161.46,2026-07-29 13:09:00,13
115.0,161.5632,161.6,161.6,161.6,161.6,2026-07-29 13:11:00,12
18246.518887,162.9642,162.61,164.72,164.72,162.61,2026-07-29 13:30:00,176
2113.314034,164.684,164.77,163.275,165.0,163.275,2026-07-29 13:31:00,66
157.4104,164.8587,164.6,164.6,164.6,164.6,2026-07-29 13:32:00,15
498.063942,164.4034,164.5,164.5,164.5,164.5,2026-07-29 13:33:00,21
394.1211,163.9892,164.0,164.0,164.0,164.0,2026-07-29 13:34:00,16
1307.560667,163.899,164.215,163.7753,164.215,163.7753,2026-07-29 13:35:00,16
1302.0009,164.5127,164.89,164.21,164.89,164.21,2026-07-29 13:36:00,33
619.0,164.6503,164.75,164.75,164.75,164.75,2026-07-29 13:37:00,29
5534.120098,165.4202,164.85,166.31,166.31,164.0,2026-07-29 13:39:00,183
3710.041025,166.1457,166.25,166.28,166.44,165.52,2026-07-29 13:40:00,117
2464.05995,166.2912,166.26,166.26,166.57,166.26,2026-07-29 13:41:00,95
3373.5072,166.7447,166.21,167.0,167.0,166.21,2026-07-29 13:42:00,42
2487.008304,166.8833,166.995,167.31,167.31,166.585,2026-07-29 13:43:00,65
377.246205,167.0716,166.955,166.955,166.955,166.955,2026-07-29 13:44:00,20
5582.524361,167.9121,167.54,167.77,168.13,167.54,2026-07-29 13:45:00,174
1059.014411,167.7841,167.6,167.87,167.875,167.48,2026-07-29 13:46:00,35
1334.204325,167.491,167.44,167.52,167.53,167.42,2026-07-29 13:47:00,47
1320.441484,167.4011,167.24,167.27,167.27,167.22,2026-07-29 13:48:00,61
445.0,167.7403,167.37,167.37,167.37,167.37,2026-07-29 13:49:00,18
1038.492573,167.9992,167.88,167.89,167.89,167.88,2026-07-29 13:50:00,81
377.131,167.6584,167.07,167.07,167.07,167.07,2026-07-29 13:52:00,36
700.02364,167.7127,167.51,167.85,167.97,167.51,2026-07-29 13:53:00,30
501.086623,168.2132,168.36,168.36,168.36,168.36,2026-07-29 13:54:00,37
977.010157,167.7483,168.79,167.3229,168.79,167.3229,2026-07-29 13:55:00,21
1664.0,168.9973,168.705,169.108,169.24,168.705,2026-07-29 13:57:00,41
244.05241,169.145,169.1,169.24,169.24,169.1,2026-07-29 13:58:00,11
1563.030387,168.8108,169.23,169.24,169.24,168.6,2026-07-29 13:59:00,52
10369.5469,169.1417,169.12,169.0,169.5,168.87,2026-07-29 14:00:00,156
1995.041351,169.1046,169.1225,169.19,169.19,169.1225,2026-07-29 14:01:00,98
2942.14249,168.9268,168.67,168.99,169.25,168.65,2026-07-29 14:02:00,102
166.0635,169.4111,169.505,169.505,169.505,169.505,2026-07-29 14:03:00,16
3805.9723,169.9927,169.51,170.09,170.09,169.51,2026-07-29 14:04:00,141
1124.185995,170.2377,170.01,170.39,170.39,170.01,2026-07-29 14:05:00,47
3428.525068,170.0143,170.06,169.8,170.19,169.79,2026-07-29 14:06:00,101
688.496092,169.9729,169.88,169.89,169.89,169.88,2026-07-29 14:07:00,37
2641.19639,170.2332,170.25,170.23,170.44,169.8301,2026-07-29 14:08:00,78
4147.411136,170.0433,170.23,169.975,170.23,169.96,2026-07-29 14:09:00,66
1767.7497,169.9145,169.89,169.83,169.89,169.825,2026-07-29 14:10:00,46
3461.00765,169.8764,169.82,169.7625,170.06,169.7625,2026-07-29 14:11:00,89
2133.0006,169.8959,169.99,169.985,169.99,169.73,2026-07-29 14:12:00,76
2663.5539,169.6014,169.755,169.66,169.85,169.61,2026-07-29 14:13:00,82
853.004004,169.2195,169.27,169.28,169.28,169.27,2026-07-29 14:14:00,46
1604.08387,169.2307,169.24,169.24,169.24,168.99,2026-07-29 14:15:00,42
2922.0,169.2644,169.64,169.32,169.71,168.6501,2026-07-29 14:16:00,96
611.038228,169.359,169.255,169.255,169.255,169.255,2026-07-29 14:17:00,37
1356.0,169.6204,169.85,169.36,169.85,169.36,2026-07-29 14:18:00,52
3436.58738,170.1789,169.96,169.9953,170.47,169.96,2026-07-29 14:19:00,91
2653.0392,169.4982,169.51,169.15,169.51,169.15,2026-07-29 14:20:00,90
582.0,169.1622,168.96,169.24,169.24,168.96,2026-07-29 14:21:00,51
1013.143585,169.1062,169.18,169.18,169.18,169.18,2026-07-29 14:22:00,71
784.0,169.429,169.25,169.69,169.69,169.25,2026-07-29 14:23:00,41
1043.0,169.6817,169.809,169.829,169.83,169.77,2026-07-29 14:24:00,57
488.0,169.6519,169.78,169.78,169.78,169.78,2026-07-29 14:25:00,36
637.14742,169.5133,169.1985,169.34,169.34,169.1985,2026-07-29 14:26:00,36
1527.0,169.7422,169.78,169.81,169.83,169.43,2026-07-29 14:27:00,54
2278.06073,169.7326,169.85,169.78,169.92,169.645,2026-07-29 14:28:00,59
1809.314,169.6753,169.64,169.71,169.84,169.62,2026-07-29 14:29:00,64
2689.0,169.6585,169.675,169.62,169.891,169.62,2026-07-29 14:30:00,98
464.1181,169.6829,169.82,169.82,169.82,169.82,2026-07-29 14:31:00,42
659.0,169.5619,169.75,169.475,169.75,169.475,2026-07-29 14:32:00,34
3231.12394,169.7057,169.688,169.41,169.81,169.41,2026-07-29 14:33:00,85
2138.003,170.1094,169.97,170.3,170.3,169.97,2026-07-29 14:34:00,93
2046.0,170.2783,170.115,170.335,170.71,170.1001,2026-07-29 14:35:00,30
3058.0,170.582,170.245,170.345,170.73,170.245,2026-07-29 14:36:00,72
3206.265063,170.5791,170.46,170.83,170.835,170.37,2026-07-29 14:37:00,124
1526.531094,170.7986,170.73,170.865,170.865,170.73,2026-07-29 14:38:00,56
967.5,170.8477,170.865,170.86,170.865,170.46,2026-07-29 14:39:00,31
6225.077798,170.8401,170.86,170.835,171.235,170.32,2026-07-29 14:40:00,156
2450.0,170.8735,171.07,171.02,171.08,170.82,2026-07-29 14:41:00,77
544.0051,171.0004,171.07,170.975,171.07,170.975,2026-07-29 14:42:00,40
722.00584,171.1161,171.27,171.048,171.27,171.048,2026-07-29 14:43:00,39
776.633309,171.2493,171.0775,171.22,171.22,171.0775,2026-07-29 14:44:00,53
1174.548416,171.1859,171.09,171.31,171.31,171.0,2026-07-29 14:45:00,29
2165.0,171.0279,171.29,170.89,171.29,170.88,2026-07-29 14:46:00,68
2821.0,170.8752,170.875,171.06,171.06,170.695,2026-07-29 14:47:00,64
468.0,170.9773,171.16,171.16,171.16,171.16,2026-07-29 14:48:00,32
3480.0,170.723,170.99,170.89,170.99,170.54,2026-07-29 14:49:00,99
3566.12,170.4823,170.5,170.49,170.68,170.1069,2026-07-29 14:50:00,93
4349.88942,170.3427,170.19,169.961,170.73,169.961,2026-07-29 14:51:00,78
796.0,170.5135,170.25,170.56,170.56,170.25,2026-07-29 14:52:00,29
1883.98092,170.8107,170.43,170.77,170.97,170.43,2026-07-29 14:53:00,76
520.0918,170.787,170.475,170.94,170.94,170.475,2026-07-29 14:54:00,29
2902.0,170.929,170.95,170.815,171.0,170.685,2026-07-29 14:55:00,71
1541.4991,170.8901,170.6801,170.97,170.97,170.6801,2026-07-29 14:56:00,62
597.52344,171.1144,171.0,171.0,171.0,171.0,2026-07-29 14:57:00,42
2920.667659,170.8778,170.83,170.82,170.95,170.82,2026-07-29 14:58:00,62
5940.602006,170.7315,170.645,170.73,170.89,170.62,2026-07-29 14:59:00,146
2068.454513,170.7156,170.56,170.86,170.86,170.56,2026-07-29 15:00:00,47
5623.0,170.737,170.765,170.71,170.96,170.53,2026-07-29 15:01:00,69
345.003,170.594,170.71,170.71,170.71,170.71,2026-07-29 15:03:00,20
1173.0,170.6778,170.71,170.67,170.77,170.52,2026-07-29 15:04:00,40
2028.95355,170.6696,170.55,170.7,170.76,170.52,2026-07-29 15:05:00,83
2117.238073,170.6227,170.76,170.67,170.76,170.535,2026-07-29 15:06:00,54
2118.732,170.7582,170.74,170.8,170.8,170.57,2026-07-29 15:07:00,75
1073.4835,170.8021,170.71,170.79,170.79,170.71,2026-07-29 15:08:00,38
930.0,170.7662,170.65,170.79,170.79,170.65,2026-07-29 15:09:00,38
663.0,170.7209,170.78,170.75,170.78,170.75,2026-07-29 15:10:00,30
1146.0575,170.6109,170.58,170.77,170.77,170.58,2026-07-29 15:12:00,48
714.62,170.7803,170.585,170.799,170.799,170.585,2026-07-29 15:13:00,48
5609.0,170.4659,170.78,170.28,170.78,170.28,2026-07-29 15:14:00,192
1919.1338,170.3135,170.28,170.36,170.47,170.24,2026-07-29 15:15:00,48
3200.0,170.4114,170.37,170.55,170.55,170.37,2026-07-29 15:16:00,127
737.0,170.5503,170.61,170.63,170.63,170.465,2026-07-29 15:17:00,43
605.406,170.5899,170.45,170.63,170.63,170.45,2026-07-29 15:18:00,33
980.87617,170.7249,170.2,170.63,170.63,170.2,2026-07-29 15:19:00,41
1974.294,170.735,170.55,170.81,170.81,170.55,2026-07-29 15:20:00,106
2335.4436,170.5938,170.65,170.58,170.65,170.38,2026-07-29 15:21:00,102
2339.767996,170.5252,170.71,170.36,170.71,170.26,2026-07-29 15:22:00,65
917.0,170.2948,170.24,170.21,170.495,170.21,2026-07-29 15:23:00,29
2257.036253,170.303,170.19,170.62,170.62,170.15,2026-07-29 15:24:00,82
