Volume,vw,Open,Close,High,Low,timestamp,n
36907.431911,124.1022,124.5,124.91,125.05,122.2105,2026-07-29 08:00:00,740
19004.010949,123.8915,124.92,124.52,125.03,122.0,2026-07-29 08:01:00,512
16979.0,122.9536,124.57,122.9,124.79,122.13,2026-07-29 08:02:00,652
40511.0,123.6919,122.9,124.53,124.58,122.82,2026-07-29 08:03:00,1370
19002.0,124.0909,124.38,124.04,124.58,123.56,2026-07-29 08:04:00,577
35718.234467,124.5424,124.32,124.5,125.04,124.09,2026-07-29 08:05:00,768
775.0,124.6018,124.48,124.5049,124.5049,124.48,2026-07-29 08:06:00,24
5817.0,123.9746,123.64,124.6,124.6,122.81,2026-07-29 08:07:00,140
417.0,124.6982,124.7,124.7,124.7,124.7,2026-07-29 08:11:00,17
1344.0,124.4918,124.49,124.5,124.5,124.49,2026-07-29 08:15:00,41
253.0,124.5485,124.3609,124.67,124.67,124.3609,2026-07-29 08:18:00,6
653.996504,124.9078,124.69,124.78,124.78,124.69,2026-07-29 08:25:00,12
1606.0,124.5914,124.55,124.67,124.67,124.55,2026-07-29 08:27:00,54
313.0,124.7019,124.67,124.67,124.67,124.67,2026-07-29 08:30:00,17
251.155,124.9301,124.82,124.82,124.82,124.82,2026-07-29 08:32:00,11
308.352991,124.9598,124.82,124.82,124.82,124.82,2026-07-29 08:33:00,6
582.0,124.7818,124.77,124.77,124.77,124.77,2026-07-29 08:35:00,10
316.0,124.7917,124.77,124.77,124.77,124.77,2026-07-29 08:38:00,8
593.0,124.7715,124.7,124.78,124.78,124.7,2026-07-29 08:39:00,33
1153.452635,124.9345,124.87,124.9,124.9,124.87,2026-07-29 08:42:00,11
124.0,124.8698,124.87,124.87,124.87,124.87,2026-07-29 08:43:00,6
1627.0,124.811,124.81,124.66,124.9,124.66,2026-07-29 08:45:00,30
648.0,124.8552,124.83,124.83,124.83,124.83,2026-07-29 08:46:00,20
601.0,124.8941,124.89,124.9,124.9,124.89,2026-07-29 08:48:00,10
159.0,124.7175,124.6465,124.6465,124.6465,124.6465,2026-07-29 08:49:00,5
546.0,124.8925,124.9,124.9,124.9,124.9,2026-07-29 08:50:00,8
355.0,124.867,124.85,124.85,124.85,124.85,2026-07-29 08:53:00,7
515.0,124.7634,124.76,124.77,124.77,124.76,2026-07-29 08:57:00,14
322.0,124.7405,124.74,124.74,124.74,124.74,2026-07-29 08:58:00,12
