Volume,vw,Open,Close,High,Low,timestamp,n
1303.004293,130.2571,130.44,130.5,130.5,129.6,2026-07-29 08:00:00,25
1116.0,130.3471,130.66,129.89,130.66,129.89,2026-07-29 08:01:00,50
4607.0,131.0373,131.46,130.94,131.46,130.29,2026-07-29 08:03:00,92
1900.0,130.4035,130.28,130.44,130.44,130.2,2026-07-29 08:04:00,51
769.0,130.3328,130.29,130.29,130.79,130.29,2026-07-29 08:08:00,12
286.0,130.473,130.44,130.44,130.44,130.44,2026-07-29 08:16:00,8
2616.0,130.9262,130.89,130.93,130.99,130.79,2026-07-29 08:37:00,36
150.826411,132.1733,131.48,131.48,131.48,131.48,2026-07-29 08:45:00,5
709.0,130.8941,130.89,130.89,130.95,130.89,2026-07-29 09:08:00,19
1528.0,130.1278,130.23,130.03,130.23,130.02,2026-07-29 09:18:00,27
241.057497,129.488,129.4471,129.4471,129.4471,129.4471,2026-07-29 09:38:00,3
933.0,129.505,129.3,129.25,129.3,129.25,2026-07-29 09:41:00,32
3698.033997,128.5888,129.01,128.55,129.01,128.49,2026-07-29 09:42:00,31
183.0,128.5,128.5,128.5,128.5,128.5,2026-07-29 09:44:00,2
858.0,128.4901,128.5,128.5,128.5,128.49,2026-07-29 09:59:00,13
674.0,128.4966,128.5,128.5,128.5,128.49,2026-07-29 10:00:00,7
806.0,128.4989,128.5,128.5,128.5,128.5,2026-07-29 10:03:00,6
970.0,129.5742,129.42,129.68,129.68,129.42,2026-07-29 10:38:00,9
1576.0,129.577,129.39,129.7,129.7,129.39,2026-07-29 10:48:00,18
755.0,129.5075,129.5,129.5,129.5,129.5,2026-07-29 10:54:00,10
485.0,129.8874,129.8,129.8,129.8,129.8,2026-07-29 11:00:00,57
336.0,129.3595,129.3492,129.3492,129.3492,129.3492,2026-07-29 11:22:00,3
231.0,129.5966,129.6,129.6,129.6,129.6,2026-07-29 11:23:00,8
328.016748,129.613,129.6,129.6,129.6,129.6,2026-07-29 11:24:00,12
122.0,129.3475,129.3475,129.3475,129.3475,129.3475,2026-07-29 11:26:00,1
200.0,129.88,129.88,129.88,129.88,129.88,2026-07-29 11:34:00,1
287.0,129.8774,129.87,129.87,129.87,129.87,2026-07-29 11:35:00,7
3860.0,129.2564,129.47,129.2,129.47,129.2,2026-07-29 11:36:00,43
160.0,128.7519,128.603,128.603,128.603,128.603,2026-07-29 11:56:00,2
139.0,128.0,128.0,128.0,128.0,128.0,2026-07-29 11:57:00,1
241.029942,129.5161,129.5,129.5,129.5,129.5,2026-07-29 11:58:00,4
164.0,128.8867,128.93,128.93,128.93,128.93,2026-07-29 12:23:00,3
133.0,128.9377,128.96,128.96,128.96,128.96,2026-07-29 12:29:00,5
781.0,129.4585,129.42,129.49,129.49,129.42,2026-07-29 12:40:00,18
642.0,129.6786,129.5,129.83,129.83,129.5,2026-07-29 12:46:00,12
149.0,129.7919,129.93,129.93,129.93,129.93,2026-07-29 13:18:00,2
215.0,129.5986,129.5775,129.5775,129.5775,129.5775,2026-07-29 13:21:00,3
1006.0,129.3298,129.06,129.07,129.07,129.06,2026-07-29 13:27:00,13
98532.695139,129.2715,129.045,130.47,130.55,128.22,2026-07-29 13:30:00,918
22769.358493,129.7726,130.71,129.26,130.77,129.26,2026-07-29 13:31:00,414
125878.606503,129.6769,129.25,129.73,129.97,129.25,2026-07-29 13:32:00,1191
32120.241509,130.0096,129.73,130.115,130.395,129.45,2026-07-29 13:33:00,539
23410.451646,130.175,130.2,130.15,130.4,129.8901,2026-07-29 13:34:00,446
45412.377292,129.7437,130.1,129.71,130.165,129.51,2026-07-29 13:35:00,625
106635.170599,129.6864,129.61,129.62,130.06,129.45,2026-07-29 13:36:00,1265
77359.477574,128.9805,129.49,128.886,129.56,128.79,2026-07-29 13:37:00,694
11420.898031,129.1683,128.89,129.2143,129.39,128.85,2026-07-29 13:38:00,254
28489.854949,129.9767,129.2675,130.36,130.55,129.2675,2026-07-29 13:39:00,392
16061.391797,130.1891,130.465,130.395,130.465,129.95,2026-07-29 13:40:00,288
14825.423712,130.3415,130.5,130.14,130.5447,130.0376,2026-07-29 13:41:00,279
9397.176891,130.2481,130.09,130.305,130.43,130.09,2026-07-29 13:42:00,207
7568.676234,130.3423,130.305,130.31,130.48,130.17,2026-07-29 13:43:00,190
12243.619802,130.3067,130.4,130.25,130.4,130.2,2026-07-29 13:44:00,156
51030.724039,130.7872,130.33,130.918,131.045,130.33,2026-07-29 13:45:00,743
24312.92744,130.804,130.95,130.38,131.07,130.38,2026-07-29 13:46:00,284
15806.17496,130.3474,130.4,130.36,130.45,130.25,2026-07-29 13:47:00,226
13017.188191,130.429,130.36,130.68,130.68,130.25,2026-07-29 13:48:00,229
10624.64056,130.5828,130.69,130.62,130.695,130.47,2026-07-29 13:49:00,162
8926.12119,130.5595,130.64,130.54,130.685,130.41,2026-07-29 13:50:00,210
10443.887459,130.6744,130.54,130.61,130.81,130.505,2026-07-29 13:51:00,226
19917.188517,130.3617,130.59,130.14,130.6667,130.14,2026-07-29 13:52:00,365
22303.023094,130.2587,130.15,130.38,130.4,130.085,2026-07-29 13:53:00,366
7629.99644,130.3414,130.385,130.4,130.4,130.225,2026-07-29 13:54:00,171
18269.220887,130.5248,130.47,130.59,130.73,130.41,2026-07-29 13:55:00,365
25467.253543,130.6178,130.6,130.55,130.76,130.4,2026-07-29 13:56:00,411
17592.975489,130.7057,130.56,130.81,130.96,130.54,2026-07-29 13:57:00,313
16562.168444,130.9234,130.96,130.93,131.04,130.79,2026-07-29 13:58:00,219
14016.571821,130.8556,130.945,130.93,131.0,130.63,2026-07-29 13:59:00,267
19581.110537,131.1294,130.8825,131.2,131.31,130.8,2026-07-29 14:00:00,344
11642.091524,131.0426,131.22,130.875,131.22,130.84,2026-07-29 14:01:00,239
16714.065827,130.7123,130.87,130.78,130.87,130.5125,2026-07-29 14:02:00,279
9395.252297,130.7657,130.81,130.71,130.815,130.67,2026-07-29 14:03:00,200
16845.328306,130.9443,130.885,131.205,131.22,130.8,2026-07-29 14:04:00,260
10527.761019,131.2516,131.11,131.33,131.39,131.11,2026-07-29 14:05:00,286
9693.166963,131.1707,131.27,131.14,131.2861,131.0121,2026-07-29 14:06:00,221
15396.402657,130.9403,131.145,130.71,131.19,130.69,2026-07-29 14:07:00,207
20506.063192,130.7896,130.78,130.8275,130.89,130.66,2026-07-29 14:08:00,303
11025.02974,130.6629,130.86,130.7725,130.86,130.47,2026-07-29 14:09:00,207
15340.560202,130.5875,130.65,130.54,130.705,130.42,2026-07-29 14:10:00,223
12319.30064,130.543,130.59,130.525,130.69,130.43,2026-07-29 14:11:00,227
6838.240724,130.4083,130.52,130.298,130.52,130.298,2026-07-29 14:12:00,139
21678.61349,130.0423,130.27,129.93,130.27,129.84,2026-07-29 14:13:00,316
9038.187301,130.05,129.96,130.14,130.14,129.91,2026-07-29 14:14:00,184
21413.167852,130.2414,130.13,130.22,130.28,130.09,2026-07-29 14:15:00,224
13421.291989,130.0259,130.195,130.15,130.195,129.89,2026-07-29 14:16:00,251
11488.91112,130.1967,130.15,130.135,130.4306,129.97,2026-07-29 14:17:00,217
11561.189608,130.292,130.19,130.355,130.4819,130.07,2026-07-29 14:18:00,241
13682.63851,130.2803,130.355,130.01,130.43,130.01,2026-07-29 14:19:00,211
